Title,region,Region Name,region_parent_name,Price,Property Size,Bedrooms,Bathrooms,Furnishing,Is Boosted,House Type,Region Parent Name
4bdrm Duplex in Jabi Abuja for sale,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),1000000000.0,1500.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
11bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),1500000000.0,1500.0,11,11,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
Furnished 3bdrm Bungalow in Galadimawa Sunnyvale for sale,"Abuja (FCT), Galadimawa",Galadimawa,Abuja (FCT),120000000.0,1000.0,3,3,Furnished,vip_gold,Bungalow,Abuja (FCT)
5bdrm Duplex in Gwarinpa Abuja for sale,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),350000000.0,1000.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
3bdrm Bungalow in Gaduwa Abuja for sale,"Abuja (FCT), Gaduwa",Gaduwa,Abuja (FCT),150000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Bungalow,Abuja (FCT)
3bdrm Duplex in Life Camp Abuja for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,300000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
"5bdrm Duplex in Secured Area, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,1300000000.0,350.0,5,5,Semi-Furnished,enterprise,Duplex,Lagos Island
"5bdrm Duplex in Estate, Ojodu for sale","Lagos State, Ojodu",Ojodu,Lagos State,390000000.0,350.0,5,5,Semi-Furnished,enterprise,Duplex,Lagos Mainland
4bdrm Duplex in Maitama District for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),1700000000.0,1100.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
8bdrm Bungalow in Kado Abuja for sale,"Abuja (FCT), Kado",Kado,Abuja (FCT),600000000.0,1600.0,8,8,Semi-Furnished,vip_gold,Bungalow,Abuja (FCT)
4bdrm Duplex in Kaura Abuja for sale,"Abuja (FCT), Kaura",Kaura,Abuja (FCT),1700000000.0,3000.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
5bdrm Duplex in Wuse2 Abuja for sale,"Abuja (FCT), Wuse 2",Wuse 2,Abuja (FCT),1800000000.0,1000.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
5bdrm Duplex in Jahi for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),200000000.0,1000.0,5,5,Unfurnished,enterprise,Duplex,Abuja (FCT)
3bdrm Bungalow in Dawaki Abuja for sale,"Gwarinpa, Dawaki",Dawaki,Gwarinpa,100000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Bungalow,Abuja (FCT)
"4bdrm Penthouse in Lokogoma Abuja, Dawaki for sale","Gwarinpa, Dawaki",Dawaki,Gwarinpa,120000000.0,500.0,4,4,Semi-Furnished,vip_gold,Penthouse,Abuja (FCT)
3bdrm Block of Flats in Galadimawa Abuja for sale,"Abuja (FCT), Galadimawa",Galadimawa,Abuja (FCT),90000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Block Of Flats,Abuja (FCT)
5bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),1200000000.0,1000.0,5,5,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
Furnished 4bdrm Duplex in Iife Camp Abuja for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,210000000.0,800.0,4,4,Furnished,vip_gold,Duplex,Abuja (FCT)
4bdrm Duplex in Life Camp Abuja for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,350000000.0,1000.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
"6bdrm Duplex in Estate, Magodo Isheri for sale","Ojodu, Magodo Isheri",Magodo Isheri,Ojodu,220000000.0,700.0,6,6,Semi-Furnished,enterprise,Duplex,Lagos Mainland
"4bdrm Duplex in Secured Area, Fagba for sale","Agege, Fagba",Fagba,Agege,280000000.0,270.0,4,4,Semi-Furnished,enterprise,Duplex,Lagos Mainland
"3bdrm Duplex in Secured Area, Fagba for sale","Agege, Fagba",Fagba,Agege,180000000.0,250.0,3,3,Semi-Furnished,enterprise,Duplex,Lagos Mainland
6bdrm Mansion in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),1500000000.0,1200.0,6,6,Semi-Furnished,vip_gold,Mansion,Abuja (FCT)
Furnished 5bdrm Duplex in Katampe Extension for sale,"Katampe, Katampe Extension",Katampe Extension,Katampe,1500000000.0,1200.0,5,5,Furnished,vip_gold,Duplex,Abuja (FCT)
